Company Name,Phone Number,Website URL,Email,Street Address,City,Lead Status,Lifecycle Stage
Rani furnitures,09486536046,http://www.bhaski.co.in/,info@bhaski.co.in,"195, 197, Ranga Pillai St, MG Road Area, Puducherry, 605001","Puducherry, India",NEW,Lead
MANI Luxury Furniture,06384808182,,,"120, Villianur Main Rd, near Kamban Nagar, Kamban Nagar, Reddiarpalayam, Puducherry, 605010","Puducherry, India",NEW,Lead
Sri Jeyabharatham & Co,04132210125,,,"106, Kamaraj Salai, Kamaraj Nagar, Puducherry, 605011","Puducherry, India",NEW,Lead
Sri Ganesan Furniture Works,04132335482,http://sriganesanfurniture.com/,mothi_winus@yahoo.co.in,"73, Anna Salai, Heritage Town, Puducherry, 605001","Puducherry, India",NEW,Lead
Damro Furniture Puducherry,18004251122,https://www.damroindia.com/showroom/Puducherry/DamroFurniturePuducherry,salessupport@damroindia.com,"135, Villianur Main Rd, Kavery Nagar, Reddiarpalayam, Puducherry, 605010","Puducherry, India",NEW,Lead
"Interio by Godrej - Furniture Store in Lawspet, Puducherry",08291998650,https://stores.interio.com/godrej-interio-furniture-store-in-lawspet-puducherry-bl-enterprise-home-furniture-shop-lawspet-puducherry-489860/Home?utm_source=locator&utm_medium=googleplaces,interiocare@godrej.com,"15, East Coast Rd, opposite Maruti Suzuki Showroom, Pakkamudayanpet, Lawspet, Puducherry, 605008","Puducherry, India",NEW,Lead
Ambika Furnitures and Home Appliances,08754125229,,,"81, Amman Koil St, opp. to New Bus Stand, near to Arulmigu Shree Siddhivinayak Sri Samundeeswari Amman Thirukovil, Orleanpet, Puducherry, 605005","Puducherry, India",NEW,Lead
KM Furniture,07397128842,,,"554, Maraimalai Adigal Salai, opp. Botanical Garden Gate, Ambedkar Nagar, Orleanpet, Puducherry, 605001","Puducherry, India",NEW,Lead
Furniture Lifestyles,04134901795,https://furniturelifestyles.orderz.in/,furniturelifestylespdy@gmail.com,"Plat No, 326-A, Ambalathadayar Madam St, Kamaraj Nagar, Puducherry, 605001","Puducherry, India",NEW,Lead
Karthik Furniture And Bedding Mart,09003737343,,,"171, Ranga Pillai St, MG Road Area, Puducherry, 605001","Puducherry, India",NEW,Lead
Bawa's Furniture World,09894141344,,,"147, Needarajapaiyer St, Opp. ICICI Bank, MG Road Area, Puducherry, 605001","Puducherry, India",NEW,Lead
Kothandaraman Stores,04132222259,http://www.bhaski.co.in/,info@bhaski.co.in,"222, Ranga Pillai St, MG Road Area, Puducherry, 605001","Puducherry, India",NEW,Lead
Royaloak Furniture Pondicherry 2,07942811876,https://stores.royaloakindia.com/royaloak-furniture-pondichery-2-home-furniture-shop-marie-oulgaret-puducherry-453039/Home?utm_source=locator&utm_medium=googleplaces,pondy2@royaloakindia.com,"Bus Stop, NH-45A, Villupuram Main Road, near Moolakulam, Annai Theresa Nagar, Marie Oulgaret, Puducherry, 605010","Puducherry, India",NEW,Lead
Sree Sreenivasa Furniture,09790633666,,,"197, Ranga Pillai St, MG Road Area, Puducherry, 605001","Puducherry, India",NEW,Lead
Urban Ladder - Furniture and Decor Store in Pondicherry,07305820899,https://urbanladder.com/,hello@urbanladder.com,"First Floor, Krishna Enclave.78 Villianur Road Reddiarpalayam, Taluk, Marie Oulgaret, Puducherry, 605010","Puducherry, India",NEW,Lead
Sri Mirra Furniture,09843182927,https://srimirrafurniture.com/,srimirra@gmail.com,"137, Sri Aurobindo Street, Bharathi St, cutting, Puducherry, 605001","Puducherry, India",NEW,Lead
Copper Kitchen,09944549977,http://www.copperkitchen.in/,contact@copperkitchen.in,"73, 100 Feet Rd, Ellaipillaichavady, Sathya Nagar East, Puducherry, 605005","Puducherry, India",NEW,Lead
THE SPOT,06384440648,http://www.thespotpondi.com/,contact@thespotpondi.com,"37, Dumas St, White Town, Puducherry, 605001","Puducherry, India",NEW,Lead
The Boho | Pondicherry’s Premier Fine Dining Restaurant & Nightlife Destination,09585549501,https://thebohopondy.com/,,"Old Venus Theatre, Karuvadikuppam Main Road Saram, Revenue Village, Oulgaret, Puducherry, 605003","Puducherry, India",NEW,Lead
Mira,07969219999,https://granddeeurope.com/,enquiry@granddeeurope.com,"28, Rue, Suffren St, inside Grand Hotel, D'Europe, White Town, Puducherry, 605001","Puducherry, India",NEW,Lead
Bismilla Multicuisine Restaurant Annasalai,08903554007,,,"4, Anna Salai, near T.V. nagar, Heritage Town, Puducherry, 605001","Puducherry, India",NEW,Lead
Oh Pondi!,08248237289,,,"7,1st Floor, Guest House, 7, South Boulevard, near Park, Duppuypet, Puducherry, 605012","Puducherry, India",NEW,Lead
Orange restaurant,08825252525,https://www.orangemulticuisinerestaurant.com/,info@orangemulticuisinerestaurant.com,"SH 49, Lawspet, Puducherry, 605008","Puducherry, India",NEW,Lead
Lotus Bay View Hotel,09750976176,http://lotuspondicherryhotels.com/,,"No. 01-B, Bazaar Saint Laurent St, White Town, Puducherry, 605001","Puducherry, India",NEW,Lead
Hotel Atithi,09003043207,https://www.atithipondicherry.com/,reservations@tgihotels.com,"126, Sardar Vallabbhai Patel Salai, Heritage Town, Puducherry, 605001","Puducherry, India",NEW,Lead
Le Royal Park - Puducherry,04132231500,http://www.hotelleroyalpark.com/,reservations@hotelleroyalpark.com,"168, Kamaraj Salai, Saram, Puducherry, 605013","Puducherry, India",NEW,Lead
Hotel Annamalai International,04132247001,http://www.hotelannamalai.com/,reservations@hotelannamalai.com,"479, Kamaraj Salai, Sakthi Nagar, Saram, Puducherry, 605013","Puducherry, India",NEW,Lead
Shenbaga Hotel & Convention Centre,04132233991,http://www.shenbagahotel.com/,,"432, Mahatma Gandhi Rd, Muthialpet, Puducherry, 605003","Puducherry, India",NEW,Lead
The Residency Towers Puducherry,04136662277,https://www.theresidency.com/towers-puducherry/,resvpondy@theresidency.com,"388, Anna Salai, Subbarayapillai Chathiram, Puducherry, 605011","Puducherry, India",NEW,Lead
Accord Puducherry,04132299000,https://www.theaccordhotels.com/,info.chennai@theaccordhotels.com,"1, Thilagar Nagar, Ellaipillaichavady, Aruthra Nagar, Puducherry, 605005","Puducherry, India",NEW,Lead
