Company,Phone,Website,Email,Street,Status,Rating
Validation Suite Test Business,+91 98765 43210,https://example-validation-business.com,contact@example-validation-business.com,"100 Beach Road, Puducherry",Open - Not Contacted,D
Zazzle Salon - Madurai,07305986298,https://zazzlesalon.com/,info.zazzlesalon@gmail.com,"Flat no : 402, LG Complex, 403, 9th Main Rd, opposite Phil's Bistro, KK Nagar, Madurai, Tamil Nadu 625020",Open - Not Contacted,D
Green Trends Unisex Hair & Style Salon,06379655151,https://salons.mygreentrends.in/salon-in-kk-nagar-madurai-tamilnadu,,"401, 9th Main Rd, opp. Rajmahal Marriage Hall, Managiri, KK Nagar, Madurai, Tamil Nadu 625020",Open - Not Contacted,D
Scissors Salon & SPA ( Unisex),08124429914,,,"14, Noyes school complex, PT Rajan Rd, Narimedu, Madurai, Tamil Nadu 625002",Open - Not Contacted,D
"Cheap and Best men's salon , Madurai Bypass Road",09159400030,,,"30/c, First Floor, Bypass Rd, near Aparna Towers, Madurai, Tamil Nadu 625016",Open - Not Contacted,D
"Green Trends Unisex Salon, Anna Nagar, Madurai",07397796531,https://salons.mygreentrends.in/green-trends/salon-in-madurai/salon-in-anna-nagar/green-trends-salon-in-anna-nagar-madurai--0cc740b0-c5b5-47a3-ab47-c87e1077448b/home,,"MIG, No. 312, 80 Feet Rd, opp. The Eye Foundation, Anna Nagar, Madurai, Tamil Nadu 625020",Open - Not Contacted,D
Narayana eTechno (CBSE) School - Madurai,18001023344,https://branches.narayanaschools.in/narayana-school/education-in-madurai/education-in-Masthanpatti-Road/narayana-etechnoschool-in-Masthanpatti-Road-madurai--2vc5Te/home,info@narayanagroup.com,"Toll Gate, Airport Road, Pandikovil Ring Road, Masthanpatti Rd, beside Maruti True value, Madurai, Tamil Nadu 625020",Open - Not Contacted,D
KALVI Global Matriculation School,07418413555,https://kalvischools.com/,hr@kalvischools.com,"Natham Rd, Naganakulam, Nangakulam, Madurai, Tamil Nadu 625014",Open - Not Contacted,D
Dolphin Matric Hr. Sec. School,08870274666,http://dolphinschool.co.in/,office@dolphinschool.co.in,"Bypass Rd, Ponmeni, Jay Nagar, Madurai, Tamil Nadu 625016",Open - Not Contacted,D
Royal Vidyalaya CBSE,09600805046,https://www.royalvidyalayacbse.com/,admissions@royalvidyalayacbse.com,"CITU colony, Vaazhavanthaan St, Vilangudi, Madurai, Tamil Nadu 625018",Open - Not Contacted,D
