Company,Phone,Website,Email,Street,City,Lead Source,Rating
Test Business,9840212345,https://test.com,,,,Google Maps Lead Generator,D
Sri Sai Furnitures Wakefit Store,09840202534,http://www.srisaifurniture.com/,,"No: 81, Kundrathur Main Rd, near PNB, Ramanatheswarar Nagar, Porur, Chennai, Greater Chennai, Tamil Nadu 600125","Chennai, Tamil Nadu",Google Maps Lead Generator,D
Wood Express Furniture,09094477777,http://www.woodexpress.in/,contact@littelburp.com,"82, Jawaharlal Nehru Salai, Vadapalani, Chennai, Greater Chennai, Tamil Nadu 600026","Chennai, Tamil Nadu",Google Maps Lead Generator,D
Brown Elephant Furniture Porur,07200122923,,,"2/2, Mount Poonamallee Rd, Gandhi Nagar, Porur, Chennai, Greater Chennai, Tamil Nadu 600116","Chennai, Tamil Nadu",Google Maps Lead Generator,D
Lingam furnitures,09710220500,,,"No 1/6 Bharathi Nagar, ramapuram main road Nesapakkam, Ramapuram, Chennai, Tamil Nadu 600078","Chennai, Tamil Nadu",Google Maps Lead Generator,D
"Rare Lily - Premium Furniture, Home Decor & Accessories",08637456012,https://rarelily.in/,info@rarelily.in,"14/20, 2nd Cross Rd, Raja Annamalaipuram, Chennai, Greater Chennai, Tamil Nadu 600028","Chennai, Tamil Nadu",Google Maps Lead Generator,D
"Wooden Street - Furniture and Mattress Store in Pallikaranai, Chennai",09314444747,https://www.woodenstreet.com/furniture-store-pallikaranai-chennai?utm_source=GMB_Listing&utm_medium=website_button&utm_campaign=GMB_Traffic&utm_id=Pallikaranai_Chennai,care@woodenstreet.com,"Plot 13, Velachery Main Rd, Mailai Balaji Nagar, Karapagambal Nagar, Pallikaranai, Chennai, Greater Chennai, Tamil Nadu 600100","Chennai, Tamil Nadu",Google Maps Lead Generator,D
"Interio by Godrej - Furniture and Mattress Store in T Nagar, Chennai",09167422496,https://stores.interio.com/interio-by-godrej-furniture-and-mattress-store-in-t-nagar-chennai-t-nagar-store-home-furniture-shop-t-nagar-chennai-275996/Home?utm_source=locator&utm_medium=googleplaces,thirivic@godrej.com,"Anu Etage, N Boag Rd, beside Kovai Pazhamudir Store, Drivers Colony, T. Nagar, Chennai, Greater Chennai, Tamil Nadu 600017","Chennai, Tamil Nadu",Google Maps Lead Generator,D
Furniture Street,04425942591,https://nirubanfurniture.in/,,"141, Parthasarathy St, Jagadish Nagar, Chinnasekkadu, Manali, Chennai, Greater Chennai, Tamil Nadu 600068","Chennai, Tamil Nadu",Google Maps Lead Generator,D
Sri Balaji Furnitures,09585391331,,,"Kundrathur Main Rd, Ramanatheshwarar Nagar, MS Nagar, Porur, Chennai, Greater Chennai, Tamil Nadu 600125","Chennai, Tamil Nadu",Google Maps Lead Generator,D
RICHWOOD FURNITURE,07358580489,https://richwoodfurniture.in/,,"No.6/35, Arcot Rd, near by Copper Kitchen, Karambakkam, Devi Nagar, Porur, Chennai, Greater Chennai, Tamil Nadu 600116","Chennai, Tamil Nadu",Google Maps Lead Generator,D
Saravana Furnitures,09944460563,,,"111, JN Rd, Hariram Nagar, V.M Nagar, Tiruvallur, Tiruvaloor, Tamil Nadu 602001","Thiruvallur, Tamil Nadu",Google Maps Lead Generator,D
Royaloak Furniture Tiruvallur,07942762679,https://stores.royaloakindia.com/royaloak-furniture-tiruvallur-home-furniture-shop-kakkalur-tiruvallur-428783/Home?utm_source=locator&utm_medium=googleplaces,tlr@royaloakindia.com,"Plot No R/64/4, Avadi Bypass Road, Ma. Po. Si. Nagar, Kakkalur, Tiruvallur, Tamil Nadu 602003","Thiruvallur, Tamil Nadu",Google Maps Lead Generator,D
"Wakefit - Mattress and Furnishing Store in Bypass Road, Thiruvallur",08068426659,https://www.wakefit.co/furniture-store/thirvallur/Bypass-Road,,"TNHB, Plot No. 715, Kakkalur Bypass Rd, near Jai Guru Jewellers, Ma. Po. Si. Nagar, Kakkalur, Tamil Nadu 602001","Thiruvallur, Tamil Nadu",Google Maps Lead Generator,D
HI FURN | Best Furniture Shop in Tiruvallur,09600188338,,,"#R31/2, Kakkalur Road, TNHB Rd, Tamil Nadu 602001","Thiruvallur, Tamil Nadu",Google Maps Lead Generator,D
